nothing	3.0000	0.0006	2.7981
groan	2.0000	0.0004	2.6732
served	2.0000	0.0004	2.6732
grog	1.0000	0.0002	2.4971
liberal	1.0000	0.0002	2.4971
bade	2.0000	0.0004	2.6732
down	3.0000	0.0006	2.7981
grand	1.0000	0.0002	2.4971
stood	3.0000	0.0006	2.7981
delivered	1.0000	0.0002	2.4971
FRIENDS ROMANS	1.0000	0.0002	2.4971
countrymen	1.0000	0.0002	2.4971
lend	1.0000	0.0002	2.4971
ears	2.0000	0.0004	2.6732
fond	1.0000	0.0002	2.4971
quotations	1.0000	0.0002	2.4971
drank	1.0000	0.0002	2.4971
health	1.0000	0.0002	2.4971
cheers	2.0000	0.0004	2.6732
additional	1.0000	0.0002	2.4971
rations	1.0000	0.0002	2.4971
MANY MONTHS	1.0000	0.0002	2.4971
MANY WEEKS	2.0000	0.0004	2.6732
FOUR WEEKS	1.0000	0.0002	2.4971
THE MONTH	1.0000	0.0002	2.4971
mark	2.0000	0.0004	2.6732
tis	4.0000	0.0008	2.8950
speaks	1.0000	0.0002	2.4971
caught	2.0000	0.0004	2.6732
glimpse	1.0000	0.0002	2.4971
MANY DAYS	1.0000	0.0002	2.4971
SEVEN DAYS TO THE WEEK	1.0000	0.0002	2.4971
allow	1.0000	0.0002	2.4971
lovingly	1.0000	0.0002	2.4971
gaze	1.0000	0.0002	2.4971
beheld	2.0000	0.0004	2.6732
come	1.0000	0.0002	2.4971
listen	1.0000	0.0002	2.4971
men	3.0000	0.0006	2.7981
FIVE	2.0000	0.0004	2.6732
unmistakable	1.0000	0.0002	2.4971
marks	1.0000	0.0002	2.4971
know	2.0000	0.0004	2.6732
wheresoever	1.0000	0.0002	2.4971
go	1.0000	0.0002	2.4971
warranted	1.0000	0.0002	2.4971
genuine	1.0000	0.0002	2.4971
snarks	3.0000	0.0006	2.7981
order	1.0000	0.0002	2.4971
taste	2.0000	0.0004	2.6732
meagre	1.0000	0.0002	2.4971
hollow	1.0000	0.0002	2.4971
crisp	1.0000	0.0002	2.4971
coat	1.0000	0.0002	2.4971
tight	1.0000	0.0002	2.4971
waist	1.0000	0.0002	2.4971
flavour	2.0000	0.0004	2.6732
wisp	1.0000	0.0002	2.4971
habit	1.0000	0.0002	2.4971
getting	2.0000	0.0004	2.6732
late	2.0000	0.0004	2.6732
carries	2.0000	0.0004	2.6732
far	7.0000	0.0014	3.0992
